Código;Razão Social;Fantasia;CNPJ;I.E.;SUFRAMA;UF;Cidade;Bairro;Endereço;Número;Complemento;CEP;Telefone;Celular;Contato;Email
1973348;14.888.133 TAYSE MICHELLI BOLDA DAGNONI;SANTA CLASSE;14888133000150;256634939;;SC;Camboriú;Centro;Rua São Paulo;286;Sala 03;88340173;;;TAYSE MICHELLI BOLDA DOGRONI;AKAROLHILLMANN@GMAIL.COM
2103696;26.954.815 JULIANA APARECIDA DA LUZ MOHR;;26954815000101;;;SC;Otacílio Costa;Centro Comercial Pinheiros;Avenida Olinkraft;2843;;88540000;;49991902873;JULIANA APARECIDA;julliana.a.luz@gmail.com.br
2271962;28.229.684 ROSIMERI PERSCH PEREIRA DA SILVA;;28229684000117;260726885;;SC;Schroeder;Localidade Duas Mamas;Estrada Tifa Rio Camarada;496;Casa;89387624;;47988945234;MERI;meripersch@gmail.com
2041482;38.080.281 LUCIANA HORST SEBOLD;;38080281000102;260653802;;SC;Rio do Sul;Centro;Rua Rudolf Fritsche;38;SALA 01;89160053;4798803841;;LUCIANA;lucianahs24@gmail.com
2174403;41.901.149 DANIELA POSTAI MACEDO;;41901149000129;261077597;;SC;Jaraguá do Sul;Barra do Rio Cerro;Rua Bertha Weege;950;Sala 8;89260500;4791211014;;DANIELA;sta_danielapostai@hotmail.com
2263315;42.372.295 MARCIA APARECIDA PACKER GEREMIAS;;42372295000177;261234510;;SC;Atalanta;Centro;Avenida Xv de Novembro;802;Sala 03;88410000;;;;
2097823;57.098.460 KAREN ANDRESSA DA SILVA SCHEUERMANN;;57098460000111;263162052;;SC;Itapoá;Itapema do Norte;Avenida 790 Ana Maria Rodrigues de Freitas;827;;89360872;;;karim andressa;gabomodainfantil@gmail.com
2058495;A W COMERCIO DE TECIDOS E CONFECCOES LTDA;Ki Lojao;85192250000123;252375688;;SC;Florianópolis;Centro;Rua Conselheiro Mafra;240;;88010100;4832226544;;Haytham Hussien Yousef Shahin;world.baby.kids2021@gmail.com
1910372;ADILSON SILVA MARTINS & CIA LTDA;;07224292000195;;;SC;Camboriú;Centro;Rua Coronel Benjamin Vieira;57;;88340356;4733600724;;Adilson Silva Martins;societario@krcontabilidade.com
1823457;ADRIANA ZUCHI 05516697999;FIORA KIDS;31601972000165;258858303;;SC;Ibirama;PONTO CHIC;RUA HEINZ OTTO DIELING;380;;89140000;(47) 9927-82637;;ADRIANA;drithaleszuchi@gmail.com
1943425;ALDORI CALCADOS LTDA;ALDORI CALCADOS;08273804000176;255252781;;SC;Agronômica;Centro;Rua xv de Novembro;686;;89188000;4735420090;;Aldori Pedro Schafer;ponticelli.contab@flynet.com.br
1737213;ASC CASA DO CRISTAO LTDA;LOJA CASA DO CRISTAO;36338658000155;260418781;;SC;Jaraguá do Sul;B.DO RIO CERRO;R BERTHA WEEGE;1010;TERREO;89260500;(47) 9970-9490;;ANDRIELI;lojacasadocristao@gmail.com
1713911;AV LUCCA - COMERCIO DE CONFECCOES - EIRELI;CIA DA MALHA;31361445000120;258799242;;SC;Porto União;CENTRO;SIQUEIRA CAMPOS;78;SALA 09;89400000;4235220590;;MARIA;lojao22.finaceiro@gmail.com
1838656;BARATINHA MODAS LTDA;BARATINHA MODAS;34563943000144;;;SC;Pouso Redondo;CENTRO;23 DE JULHO;451;SALA 01;89172000;;47988327269;ANDREIA BARATINHA;"DTECMDSCONT@GMAIL.COM	"
1793609;BARBYE COMERCIO VAREJISTA DE CONFECCOES LTDA;BARBYE FASHION;39818302000107;260793396;;SC;Joinville;Boehmerwald;Rua Adolfo da Veiga;1037;;89235000;;4730856325;BARBYE;barbyefashionevariedades@hotmail.com
1782231;BARUK REPRESENTACOES LTDA;;20497786000101;;;SC;Xaxim;FLOR;R TOCANTINS;179;;89825000;(49) 9890-44578;;MAURO;maurobrandili@gmail.com
1691865;BBR COMERCIO DE CONFECCOES LTDA;;34410682000122;260180645;;SC;Itajaí;Centro;Rua Hercílio Luz;372;;88301001;;4499500556;RAFAEL E VITOR;bbritajai@lojabomsucesso.com.br
1905307;BIANCA MACEDO GOMES 11380441994;DOCINHO DO CEU - MINI MERCADO MACEDO;41051239000178;260967165;;SC;São Bento do Sul;Brasília;Rua Boa Vista;346;Sala 01 E 02;89282428;;47997154496;BIANCA MACEDO GOMES;biancamacedo1705@gmail.com
1620664;BIG DEZ ATACADO E VAREJO DE UTILIDADES E PRESENTES EIRELI;BIG DEZ;12504640000118;256194807;;SC;Indaial;DAS NAÇÕES;RODOVIA BR470  DO KM 68,001 AO KM 68,999  LADO IMP;377;SALA:01;89082080;4798454322;;SANDRA;comercial@sandradecarvalhome.com.br
1697478;BLUVESTE COMERCIO VAREJISTA DE VESTUARIO EIRELI;LOJAS VESTE 10 +;17757185000186;256985553;;SC;Blumenau;Centro;Rua Padre Jacobs;83;;89010080;4736353039;;EDUARDO;edudallon@gmail.com
1874850;BONANZA INDUSTRIA E COMERCIO DE CONFECCOES LTDA;;27584891000127;258321024;;SC;Florianópolis;Centro;Rua Conselheiro Mafra;387;;88010101;4830282003;;BONANSA;airtond@terra.com.br
1713912;BRAZLUCCA - COMERCIO DE CONFECCOES - EIRELI;BRAZLUCCA;17016604000129;256863040;;SC;Canoinhas;Centro;Rua Francisco de Paula Pereira;588;SALA;89460048;4736225828;;MARIA;cia_canoinhas2012@hotmail.com
1740592;CLM ROUPAS LTDA;ENTRELACOS;12030504000133;256107840;;SC;Jaraguá do Sul;CENTRO;R 25 DE JULHO;157;SALA 01;89259000;;;;entrelacos10@gmail.com
1624560;COMERCIAL A10 PREÇO ÚNICO EIRELI;;33238409000108;260032859;;SC;Canoinhas;CENTRO;RUA CAETANO COSTA;328;Nao Informado;89.460-098;(47) 9944-1662;;ADRIANO;carneiro.01@hotmail.com
2021988;COMERCIAL ILHIANE LTDA;COMERCIAL ILHIANE;05726424000151;254598030;;SC;Guaramirim;Corticeira;Rua Marcionilo dos Santos;150;;89270000;;;Ilhiane Silvano;orsi@netuno.com.br
2166553;COMERCIAL SUL CATARINENSE LTDA;;51897264000120;262509431;;SC;Araranguá;Centro;Avenida Getúlio Vargas;755;"Pavmto 01;sala 103";88900037;4896928883;;Anderson Veiga Silvano;"andersonveigasilvano@gmail.com; ffesc@bol.com.br"
1713910;COMERCIO 22 DE JULHO - EIRELI;LOJAO 22 DE JULHO;80114770000102;251533883;;SC;Irineópolis;CENTRO;AV. 22 DE JULHO;880;;89440000;4736251268;;MARIA;lojao22.financeiro@gmail.com
1671875;COMERCIO DE CONFECCAO INFANTIL WORLD BABY KIDS LTDA;WORLD BABY KIDS;34676146000173;260211125;;SC;Schroeder;CENTRO;RUA MARECHAL CASTELO BRANCO;3409;SALA 2;89275000;;(47) 9915-64970;SERGIO;happylive.sergio@gmail.com
1809511;COMERCIO DO VESTUARIO DE LARA & NASCIMENTO LTDA;;16433509000168;256774480;;SC;Laguna;CENTRO;RUA 15 DE NOVEMBRO;50;;88.790-000;(48) 9984-33053;;MARCELO;marcelomul@cloud.com
1873339;COMERCIO DO VESTUARIO DE LARA & NASCIMENTO LTDA;;16433509000168;256774480;;SC;Laguna;CENTRO;RUA 15 DE NOVEMBRO;50;;88790000;;;MARCELO;marcelomjl@icloud.com
